doi,inspire_id,title,num_authors,journal_title,journal_volume,year,page_start,page_end,arxiv_eprint,record_url
10.1103/PhysRevD.111.064057,2859954,Symmetric teleparallel connection and spherical solutions in symmetric teleparallel gravity,2,Phys.Rev.D,111,2025,,,2412.11730,https://inspirehep.net/record/2859954
10.1016/j.dark.2025.101965,2907383,The CosmoVerse White Paper: Addressing observational tensions in cosmology with systematics and fundamental physics,543,Phys.Dark Univ.,49,2025,,,2504.01669,https://inspirehep.net/record/2907383
10.33232/001c.142149,2861525,"J-PLUS: Tomographic analysis of galaxy angular density and redshift fluctuations in Data Release 3. Constraints on photo-$z$ errors, linear bias, and peculiar velocities",22,,,,,,2412.14826,https://inspirehep.net/record/2861525
10.33232/001c.142148,2861590,The J-PLUS collaboration. Additive versus multiplicative systematics in surveys of the large scale structure of the Universe,22,,,,,,2412.14827,https://inspirehep.net/record/2861590
10.1051/0004-6361/202553977,2930090,Modelling the selection of galaxy groups with end-to-end simulations,16,Astron.Astrophys.,699,2025,A206,,2506.04757,https://inspirehep.net/record/2930090
10.1088/1475-7516/2025/09/060,2918656,Keeping the relation between the Starobinsky model and no-scale supergravity ACTive,3,JCAP,09,2025,060,,2505.03608,https://inspirehep.net/record/2918656
10.1103/kdqc-y37v,2939150,Quintessence and phantoms in light of DESI 2025,6,Phys.Rev.D,112,2025,,,2506.21542,https://inspirehep.net/record/2939150
10.1016/j.dark.2025.101965,2907383,The CosmoVerse White Paper: Addressing observational tensions in cosmology with systematics and fundamental physics,543,Phys.Dark Univ.,49,2025,,,2504.01669,https://inspirehep.net/record/2907383
10.1103/kqpy-f2q2,2928963,Toward a gravitational network: Bridging metric-affine gravity and no-scale supergravity,3,Phys.Rev.D,112,2025,9,,2506.02159,https://inspirehep.net/record/2928963
10.1088/1748-0221/20/08/P08027,2937178,Operation and performance of the CMS silicon strip tracker with proton-proton collisions at the CERN LHC,2736,JINST,20,2025,,,2506.17195,https://inspirehep.net/record/2937178
10.1007/JHEP04(2025)115,2855546,Measurement of the inclusive WZ production cross section in pp collisions at $ \sqrt{\textrm{s}} $ = 13.6 TeV,2396,JHEP,04,2025,115,,2412.02477,https://inspirehep.net/record/2855546
10.1103/95q6-vvlp,2810156,Search for flavor-changing neutral current interactions of the top quark mediated by a Higgs boson in proton-proton collisions at 13 TeV,2341,Phys.Rev.D,112,2025,,,2407.15172,https://inspirehep.net/record/2810156
